FEN
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR
rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR
rnbqkbnrppp1pppp83p42PP48PP2PPPPRNBQKBNR
rnbqkbnrpp2pppp2p53p42PP48PP2PPPPRNBQKBNR
rnbqkbnrpp2pppp2p53p42PP44P3PP3PPPRNBQKBNR
rn1qkbnrpp2pppp2p53p1b22PP44P3PP3PPPRNBQKBNR
rn1qkbnrpp2pppp2p53p1b22PP42N1P3PP3PPPR1BQKBNR
rn1qkbnrpp3ppp2p1p33p1b22PP42N1P3PP3PPPR1BQKBNR
rn1qkbnrpp3ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R
r2qkbnrpp1n1ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R
r2qkbnrpp1n1ppp2p1p33p1b22PP4P1N1PN21P3PPPR1BQKB1R
r2qk1nrpp1n1ppp2pbp33p1b22PP4P1N1PN21P3PPPR1BQKB1R
r2qk1nrpp1n1ppp2pbp32Pp1b23P4P1N1PN21P3PPPR1BQKB1R
r2qk1nrppbn1ppp2p1p32Pp1b23P4P1N1PN21P3PPPR1BQKB1R
r2qk1nrppbn1ppp2p1p32Pp1b21P1P4P1N1PN25PPPR1BQKB1R
r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN25PPPR1BQKB1R
r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN24BPPPR1BQK2R
r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN24BPPPR1BQK2R
r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN21B2BPPPR2QK2R
r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1PN21B2BPPPR2QK2R
r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1P31B1NBPPPR2QK2R
r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P31B1NBPPPR2QK2R
r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R
r2qkn1rppb2pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R
r2qkn1rppb2pp12p2n22Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R
r2qk2rppb2pp12p2nn12Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R
r2qk2rppb2pp12p2nn11PPp1b1pP2Pp32N1P2P1B1NBPP1R2QK2R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P2P1B1NBPP1R2QK2R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P1PP1B1NBP2R2QK2R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2QK2R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2Q1K1R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1n1PP1B1NBP2R2Q1K1R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NB3R2Q1K1R
r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB3R2Q1K1R
r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB1K1R2Q3R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R2Q3R
r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R5QR
r2qk3ppb2pp12p2n1r1PPp1b1pP2Pp32N1P2P1B1NB1K1R5QR
r2qk3ppb2pp12p2n1r1PPp1b1pP2Pp32N1P2P1B1NB3R4KQR
r2qk3ppb2pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NB3R4KQR
r2qk3ppb2pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NBQ2R4K1R
r3k3ppbq1pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NBQ2R4K1R
r3k3ppbq1pp12P2nr12Pp1b1pP2Pp32N1P2P1B1NBQ2R4K1R
